# lambda_A, throughput  (3xAg mirror x optics x grism x QE)
1.100000000000000000e+04,4.301877724155564464e-01
1.102500000000000000e+04,4.323279863572773163e-01
1.105000000000000000e+04,4.344069577688619566e-01
1.107500000000000000e+04,4.364261227268819154e-01
1.110000000000000000e+04,4.383869918103850960e-01
1.112500000000000000e+04,4.402911355017195549e-01
1.115000000000000000e+04,4.421401708403336905e-01
1.117500000000000000e+04,4.439357492875917743e-01
1.120000000000000000e+04,4.456795457526668836e-01
1.122500000000000000e+04,4.475403550699941779e-01
1.125000000000000000e+04,4.493334211835383063e-01
1.127500000000000000e+04,4.510620433995473633e-01
1.130000000000000000e+04,4.527294026075362465e-01
1.132500000000000000e+04,4.543385605488497458e-01
1.135000000000000000e+04,4.558924598386771554e-01
1.137500000000000000e+04,4.573939246430414607e-01
1.140000000000000000e+04,4.588456619202703202e-01
1.142500000000000000e+04,4.602502631442487724e-01
1.145000000000000000e+04,4.616102064343085565e-01
1.147500000000000000e+04,4.629278590238070645e-01
1.150000000000000000e+04,4.642054800062920816e-01
1.152500000000000000e+04,4.654452233045758280e-01
1.155000000000000000e+04,4.666491408140396313e-01
1.157500000000000000e+04,4.678191856770711476e-01
1.160000000000000000e+04,4.689572156506652822e-01
1.162500000000000000e+04,4.700649965339430136e-01
1.165000000000000000e+04,4.711442056266490486e-01
1.167500000000000000e+04,4.721964351935997173e-01
1.170000000000000000e+04,4.732231959135961286e-01
1.172500000000000000e+04,4.742259202945086627e-01
1.175000000000000000e+04,4.752059660391009244e-01
1.177500000000000000e+04,4.761646193487136247e-01
1.180000000000000000e+04,4.771030981542080385e-01
1.182500000000000000e+04,4.780225552655861798e-01
1.185000000000000000e+04,4.789240814334732033e-01
1.187500000000000000e+04,4.798087083172205003e-01
1.190000000000000000e+04,4.806774113557474859e-01
1.192500000000000000e+04,4.815311125384273971e-01
1.195000000000000000e+04,4.823706830743543228e-01
1.197500000000000000e+04,4.831969459592147520e-01
1.200000000000000000e+04,4.840106784397342210e-01
1.202500000000000000e+04,4.842769960843389954e-01
1.205000000000000000e+04,4.845315989085985375e-01
1.207500000000000000e+04,4.847751771316527458e-01
1.210000000000000000e+04,4.850083812056381061e-01
1.212500000000000000e+04,4.852318239941389999e-01
1.215000000000000000e+04,4.854460828446970355e-01
1.217500000000000000e+04,4.856517015588875941e-01
1.220000000000000000e+04,4.858491922635710947e-01
1.222500000000000000e+04,4.860390371869932058e-01
1.225000000000000000e+04,4.862216903434538606e-01
1.227500000000000000e+04,4.863975791302540541e-01
1.230000000000000000e+04,4.865671058406150773e-01
1.232500000000000000e+04,4.867306490962239329e-01
1.235000000000000000e+04,4.868885652029930622e-01
1.237500000000000000e+04,4.870411894335535119e-01
1.240000000000000000e+04,4.871888372399135747e-01
1.242500000000000000e+04,4.873318053996202881e-01
1.245000000000000000e+04,4.874703730986604255e-01
1.247500000000000000e+04,4.876048029542304763e-01
1.250000000000000000e+04,4.877353419803983070e-01
1.252500000000000000e+04,4.878622224995594614e-01
1.255000000000000000e+04,4.879856630024883013e-01
1.257500000000000000e+04,4.881058689596607936e-01
1.260000000000000000e+04,4.882230335864177762e-01
1.262500000000000000e+04,4.883373385644255160e-01
1.265000000000000000e+04,4.884489547217799599e-01
1.267500000000000000e+04,4.885580426739892235e-01
1.270000000000000000e+04,4.886647534279739968e-01
1.272500000000000000e+04,4.887692289511117449e-01
1.275000000000000000e+04,4.888716027072578796e-01
1.277500000000000000e+04,4.889720001615808775e-01
1.280000000000000000e+04,4.890705392559569487e-01
1.282500000000000000e+04,4.891673308565714362e-01
1.285000000000000000e+04,4.892624791753066305e-01
1.287500000000000000e+04,4.893560821663951454e-01
1.290000000000000000e+04,4.894482318997496195e-01
1.292500000000000000e+04,4.895390149123050039e-01
1.295000000000000000e+04,4.896285125386318215e-01
1.297500000000000000e+04,4.897168012220141087e-01
1.300000000000000000e+04,4.898039528071229110e-01
