# lambda_A, QE  (e2v CCD + Teledyne H2RG blended by a 1.0um dichroic)
8.425000000000000000e+03,7.997200611666310799e-01
8.450000000000000000e+03,7.964742924589643946e-01
8.475000000000000000e+03,7.932352734244739745e-01
8.500000000000000000e+03,7.900048440891389578e-01
8.525000000000000000e+03,7.867850425848696982e-01
8.550000000000000000e+03,7.835781210850846223e-01
8.575000000000000000e+03,7.803865626632425778e-01
8.600000000000000000e+03,7.772130990835008912e-01
8.625000000000000000e+03,7.740217997364906566e-01
8.650000000000000000e+03,7.708500252830067234e-01
8.675000000000000000e+03,7.677009318821449435e-01
8.700000000000000000e+03,7.645779724726964321e-01
8.725000000000000000e+03,7.614849172411681799e-01
8.750000000000000000e+03,7.584258748232047820e-01
8.775000000000000000e+03,7.554053141642472768e-01
8.800000000000000000e+03,7.524280869446736686e-01
8.825000000000000000e+03,7.494994504514765898e-01
8.850000000000000000e+03,7.466250907526374991e-01
8.875000000000000000e+03,7.438111460016751941e-01
8.900000000000000000e+03,7.410642296683306318e-01
8.925000000000000000e+03,7.383914534570477084e-01
8.950000000000000000e+03,7.358004496379159098e-01
8.975000000000000000e+03,7.332993924752632120e-01
9.000000000000000000e+03,7.308970183974508039e-01
9.025000000000000000e+03,7.250803209607350475e-01
9.050000000000000000e+03,7.193198974092839260e-01
9.075000000000000000e+03,7.136213515615384972e-01
9.100000000000000000e+03,7.079906449484747455e-01
9.125000000000000000e+03,7.024341032952456931e-01
9.150000000000000000e+03,6.969584207995870306e-01
9.175000000000000000e+03,6.915706618418751006e-01
9.200000000000000000e+03,6.862782597429382125e-01
9.225000000000000000e+03,6.810890121714298084e-01
9.250000000000000000e+03,6.760110727940651376e-01
9.275000000000000000e+03,6.710529387607082619e-01
9.300000000000000000e+03,6.662234336236197985e-01
9.325000000000000000e+03,6.615316853076635972e-01
9.350000000000000000e+03,6.569870987773793747e-01
9.375000000000000000e+03,6.525993230889399754e-01
9.400000000000000000e+03,6.483782125713526412e-01
9.425000000000000000e+03,6.443337819527588106e-01
9.450000000000000000e+03,6.404761553349359593e-01
9.475000000000000000e+03,6.368155090222124004e-01
9.500000000000000000e+03,6.333620083295184999e-01
9.525000000000000000e+03,6.301257386270687766e-01
9.550000000000000000e+03,6.271166310243250219e-01
9.575000000000000000e+03,6.243443832507140634e-01
9.600000000000000000e+03,6.218183764515194945e-01
9.625000000000000000e+03,6.195475887800601100e-01
9.650000000000000000e+03,6.175405068265806818e-01
9.675000000000000000e+03,6.158050360744273810e-01
9.700000000000000000e+03,6.143484117088480190e-01
9.725000000000000000e+03,6.131771112166992665e-01
9.750000000000000000e+03,6.122967703000918860e-01
9.775000000000000000e+03,6.117121036776190790e-01
9.800000000000000000e+03,6.114268323580884790e-01
9.825000000000000000e+03,6.114436189395782151e-01
9.850000000000000000e+03,6.117640124085430564e-01
9.875000000000000000e+03,6.123884037887667997e-01
9.900000000000000000e+03,6.133159938192971339e-01
9.925000000000000000e+03,6.145447736272772188e-01
9.950000000000000000e+03,6.160715191110260891e-01
9.975000000000000000e+03,6.178917994679834491e-01
1.000000000000000000e+04,6.199999999999999956e-01
1.002500000000000000e+04,6.174186260199036047e-01
1.005000000000000000e+04,6.152937284675706886e-01
