# lambda_A, I_lambda[erg/s/cm2/A/arcsec2]  (CALSPEC solar x Leinert-1998 norm + IPD thermal)
1.327500000000000000e+04,1.443798745720970783e-18
1.330000000000000000e+04,1.419189504662251968e-18
1.332500000000000000e+04,1.417516593760031307e-18
1.335000000000000000e+04,1.436849830933510160e-18
1.337500000000000000e+04,1.424905462717409443e-18
1.340000000000000000e+04,1.405885853213920267e-18
1.342500000000000000e+04,1.414678803436984591e-18
1.345000000000000000e+04,1.411786534859212311e-18
1.347500000000000000e+04,1.406769072723834627e-18
1.350000000000000000e+04,1.389602934552627414e-18
1.352500000000000000e+04,1.397516787334583367e-18
1.355000000000000000e+04,1.380568996295256807e-18
1.357500000000000000e+04,1.369710522158840898e-18
1.360000000000000000e+04,1.365953715061966361e-18
1.362500000000000000e+04,1.371027362069566148e-18
1.365000000000000000e+04,1.358558156096143138e-18
1.367500000000000000e+04,1.354228366144713649e-18
1.370000000000000000e+04,1.339685592869016799e-18
1.372500000000000000e+04,1.349363633591061724e-18
1.375000000000000000e+04,1.337371449056400388e-18
1.377500000000000000e+04,1.333367728016586393e-18
1.380000000000000000e+04,1.337754805151336894e-18
1.382500000000000000e+04,1.322674700655223790e-18
1.385000000000000000e+04,1.326467793073933173e-18
1.387500000000000000e+04,1.320094275442379976e-18
1.390000000000000000e+04,1.313931966712999113e-18
1.392500000000000000e+04,1.316097444550398186e-18
1.395000000000000000e+04,1.306242089743273042e-18
1.397500000000000000e+04,1.305538202812529194e-18
1.400000000000000000e+04,1.285416282620710254e-18
1.402500000000000000e+04,1.284356483378364972e-18
1.405000000000000000e+04,1.276625944641945234e-18
1.407500000000000000e+04,1.277847359655397409e-18
1.410000000000000000e+04,1.278637965439423088e-18
1.412500000000000000e+04,1.246703383172223006e-18
1.415000000000000000e+04,1.253996461928269057e-18
1.417500000000000000e+04,1.260549456626017380e-18
1.420000000000000000e+04,1.250743985944113090e-18
1.422500000000000000e+04,1.220168286791478418e-18
1.425000000000000000e+04,1.228522000238460652e-18
1.427500000000000000e+04,1.212454373446577870e-18
1.430000000000000000e+04,1.216295175566083309e-18
1.432500000000000000e+04,1.223225734717810713e-18
1.435000000000000000e+04,1.221657363446098230e-18
1.437500000000000000e+04,1.225905570638142206e-18
1.440000000000000000e+04,1.183740259838641530e-18
1.442500000000000000e+04,1.194659593512910822e-18
1.445000000000000000e+04,1.191302564557130234e-18
1.447500000000000000e+04,1.201684044843855338e-18
1.450000000000000000e+04,1.190075670516229881e-18
1.452500000000000000e+04,1.172435395437502190e-18
1.455000000000000000e+04,1.171219340797762133e-18
1.457500000000000000e+04,1.179148093964241522e-18
1.460000000000000000e+04,1.181801775392058441e-18
1.462500000000000000e+04,1.166667739292096896e-18
1.465000000000000000e+04,1.163457344556575018e-18
1.467500000000000000e+04,1.160639069264704040e-18
1.470000000000000000e+04,1.155931569623451768e-18
1.472500000000000000e+04,1.147282660153379184e-18
1.475000000000000000e+04,1.131064347485645925e-18
1.477500000000000000e+04,1.128250021971034946e-18
1.480000000000000000e+04,1.142669639299260325e-18
1.482500000000000000e+04,1.137648352282275312e-18
1.485000000000000000e+04,1.125382251866520009e-18
1.487500000000000000e+04,1.085466936189322612e-18
1.490000000000000000e+04,1.116766790071161657e-18
1.492500000000000000e+04,1.127485884710995543e-18
1.495000000000000000e+04,1.125393893873547138e-18
1.497500000000000000e+04,1.110098184059984619e-18
1.500000000000000000e+04,1.116024352438080370e-18
1.502500000000000000e+04,1.069817338999702881e-18
1.505000000000000000e+04,1.051604348455723434e-18
1.507500000000000000e+04,1.063956552912938176e-18
1.510000000000000000e+04,1.104109807993882920e-18
1.512500000000000000e+04,1.089209197783849212e-18
1.515000000000000000e+04,1.082930860990384394e-18
1.517500000000000000e+04,1.088738570945412330e-18
1.520000000000000000e+04,1.087426016951074819e-18
1.522500000000000000e+04,1.058088887927233537e-18
1.525000000000000000e+04,1.070266899076485101e-18
1.527500000000000000e+04,1.082366276789513565e-18
1.530000000000000000e+04,1.048144230106255128e-18
1.532500000000000000e+04,1.071953882969792142e-18
1.535000000000000000e+04,1.057152405415251141e-18
1.537500000000000000e+04,1.061153554596242379e-18
1.540000000000000000e+04,1.038953865259700213e-18
1.542500000000000000e+04,1.045348278761089445e-18
1.545000000000000000e+04,1.059399138904979780e-18
1.547500000000000000e+04,1.042504098658935152e-18
1.550000000000000000e+04,1.027434422703968919e-18
1.552500000000000000e+04,1.039928895524102042e-18
1.555000000000000000e+04,1.011399468673629450e-18
1.557500000000000000e+04,1.019835719977964072e-18
1.560000000000000000e+04,1.019366404216842773e-18
1.562500000000000000e+04,1.025054897311007583e-18
1.565000000000000000e+04,1.009650869399572535e-18
1.567500000000000000e+04,9.967162877566191712e-19
1.570000000000000000e+04,9.988023400879256725e-19
1.572500000000000000e+04,1.004734944677763452e-18
1.575000000000000000e+04,9.748901361352370929e-19
1.577500000000000000e+04,9.448218040541512496e-19
1.580000000000000000e+04,9.840256723761482366e-19
1.582500000000000000e+04,9.607445004982406376e-19
1.585000000000000000e+04,9.748524422932353033e-19
1.587500000000000000e+04,9.544489376705462895e-19
1.590000000000000000e+04,8.997854149874492597e-19
1.592500000000000000e+04,9.503418099984669527e-19
