mission_week,mission_year,week_of_year,calendar_start,appendix,program,key_science_row,target,hours,weekly_wall_fraction,allocation_type,visibility_fraction
227,5,19,2034-05-07,B,Mature-giant search program,Exoplanet giants / disks,HD 111631,13.986013986013987,0.08325008325008325,target-visit MILP,1.0
227,5,19,2034-05-07,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
227,5,19,2034-05-07,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
227,5,19,2034-05-07,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
227,5,19,2034-05-07,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
227,5,19,2034-05-07,A,Pathfinders and contingency,Quasar / ancillary,Flexible target list,14.0,0.08333333333333333,continuous LP,1.0
227,5,19,2034-05-07,A,SN Ia time-domain cadence,SN Ia time domain,SN north,2.0,0.011904761904761904,cadence baseline,1.0
227,5,19,2034-05-07,A,SN Ia time-domain field,SN Ia time domain,SN north,14.0,0.08333333333333333,continuous LP,1.0
228,5,20,2034-05-14,X,Compact-object ToO reserve,Compact monitoring / ToO,Future KMTNet/LVK alert,1.8430379746835444,0.010970464135021098,reserved,1.0
228,5,20,2034-05-14,A,Medium/deep ELG tiers,Deep / imaging calibration,Boötes north,16.5,0.09821428571428571,continuous LP,1.0
228,5,20,2034-05-14,A,Ultra-deep imaging fields,Deep / imaging calibration,Ultra-deep north,20.0,0.11904761904761904,continuous LP,1.0
228,5,20,2034-05-14,B,Giant orbit determination,Exoplanet giants / disks,47 UMa b,14.814814814814815,0.08818342151675485,target-visit MILP,1.0
228,5,20,2034-05-14,B,Mature-giant search program,Exoplanet giants / disks,HD 173818,13.986013986013987,0.08325008325008325,target-visit MILP,1.0
228,5,20,2034-05-14,C,NEO optical blind survey,NEO blind survey / recovery,Dynamic ecliptic scan annulus,9.215189873417721,0.05485232067510548,blind survey,1.0
228,5,20,2034-05-14,C,NEO recovery ToO reserve,NEO blind survey / recovery,Future MPC alert,3.6860759493670887,0.021940928270042195,reserved,1.0
228,5,20,2034-05-14,OPS,General observatory overhead,Observatory maintenance / overhead,Operations and calibration,21.44846153846154,0.12766941391941394,indirect overhead,1.0
228,5,20,2034-05-14,OPS,L2 station keeping,Observatory maintenance / overhead,Spacecraft orbit,2.0,0.011904761904761904,maintenance,1.0
228,5,20,2034-05-14,OPS,Momentum unload,Observatory maintenance / overhead,Reaction wheels,3.0,0.017857142857142856,maintenance,1.0
228,5,20,2034-05-14,OPS,Wavefront sensing and control,Observatory maintenance / overhead,Segmented primary mirror,2.52,0.015,maintenance,1.0
228,5,20,2034-05-14,A,Pathfinders and contingency,Quasar / ancillary,Flexible target list,14.0,0.08333333333333333,continuous LP,1.0
228,5,20,2034-05-14,A,SN Ia time-domain cadence,SN Ia time domain,SN north,2.0,0.011904761904761904,cadence baseline,1.0
228,5,20,2034-05-14,A,SN Ia time-domain field,SN Ia time domain,SN north,14.0,0.08333333333333333,continuous LP,1.0
