lam_A,r_arcsec,ee
9.000000000000000000e+03,9.722222222222223209e-01,9.389963140882806591e-01
9.000000000000000000e+03,1.077777777777777946e+00,9.404893397703304458e-01
9.000000000000000000e+03,1.183333333333333348e+00,9.409943518475745172e-01
9.000000000000000000e+03,1.288888888888888973e+00,9.412204639656120975e-01
9.000000000000000000e+03,1.394444444444444375e+00,9.412404990174707553e-01
9.000000000000000000e+03,1.500000000000000000e+00,nan
1.200000000000000000e+04,2.000000000000000042e-02,1.413096876832456716e-01
1.200000000000000000e+04,4.000000000000000083e-02,4.284782955948668315e-01
1.200000000000000000e+04,5.999999999999999778e-02,6.455000254439668961e-01
1.200000000000000000e+04,8.000000000000000167e-02,7.175729142124132043e-01
1.200000000000000000e+04,1.000000000000000056e-01,7.230053797330475707e-01
1.200000000000000000e+04,1.200000000000000094e-01,7.500679084720842660e-01
1.200000000000000000e+04,1.399999999999999856e-01,7.963359512950547447e-01
1.200000000000000000e+04,1.600000000000000033e-01,8.253403391579164916e-01
1.200000000000000000e+04,1.799999999999999933e-01,8.347109368615105440e-01
1.200000000000000000e+04,1.999999999999999833e-01,8.418044460240537985e-01
1.200000000000000000e+04,2.200000000000000011e-01,8.490889964252068545e-01
1.200000000000000000e+04,2.399999999999999911e-01,8.518680537883458470e-01
1.200000000000000000e+04,2.600000000000000089e-01,8.553203560625798341e-01
1.200000000000000000e+04,2.800000000000000266e-01,8.657928631661175878e-01
1.200000000000000000e+04,3.000000000000000444e-01,8.787066442620785622e-01
1.200000000000000000e+04,3.200000000000000067e-01,8.868645513346690157e-01
1.200000000000000000e+04,3.400000000000000244e-01,8.908986254198704158e-01
1.200000000000000000e+04,3.600000000000000422e-01,8.949933068959853300e-01
1.200000000000000000e+04,3.800000000000000044e-01,8.989759576058535817e-01
1.200000000000000000e+04,4.000000000000000222e-01,9.006913320956502211e-01
1.200000000000000000e+04,4.200000000000000400e-01,9.014992357774866960e-01
1.200000000000000000e+04,4.400000000000000022e-01,9.041434601683229211e-01
1.200000000000000000e+04,4.600000000000000200e-01,9.079658265182170007e-01
1.200000000000000000e+04,4.800000000000000377e-01,9.104449708068654834e-01
1.200000000000000000e+04,5.000000000000000000e-01,9.113941420509827918e-01
1.200000000000000000e+04,5.500000000000000444e-01,9.157565041824198282e-01
1.200000000000000000e+04,6.555555555555555580e-01,9.217575331115350767e-01
1.200000000000000000e+04,7.611111111111111827e-01,9.274003191063572293e-01
1.200000000000000000e+04,8.666666666666666963e-01,9.304831313106972646e-01
1.200000000000000000e+04,9.722222222222223209e-01,9.339258720416896420e-01
1.200000000000000000e+04,1.077777777777777946e+00,9.357876821059303296e-01
